ID,Alliance
BOL,KS
CEB,KS
DNG,KS
DEE,KS
IMP,KS
KRO,KS
MID,KS
MOG,KS
NOG,KS
PAS,KS
PON,KS
QUA,KS
BAR,PD
BIG,PD
FRE,PD
NAT,PD
PRI,PD
RID,PD
WAB,PD
COO,RR
LAN,RR
REA,RR
SMO,RR
URC,RR
